Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US
10/31/2021,Age_known,203672372,0,99,176974779,0,0,0,99
10/31/2021,Ages_25-39_yrs,43196491,21.2,0,36979014,69.6,59.6,20.9,0
10/31/2021,Ages_65-74_yrs,29632915,14.5,0,25979838,99.9,87.6,14.7,0
10/31/2021,Ages_18-24_yrs,18366535,9,0,15398009,66.2,55.5,8.7,0
10/31/2021,Race_eth_NHAsian,8103837,5.9,0,7828528,46.2,44.6,6.2,0
10/31/2021,Age_unknown,23122,0,0,5522,0,0,0,0
10/31/2021,Ages_50-64_yrs,49844619,24.5,0,44280644,84.9,75.4,25,0
10/31/2021,Ages_16-17_yrs,4808054,2.4,0,4136928,63.6,54.7,2.3,0
10/31/2021,Ages_12-15_yrs,8622132,4.2,0,7210304,56.6,47.4,4.1,0
10/31/2021,Race_eth_Hispanic,23605002,17.3,0,21210244,45.2,40.6,16.9,0
10/31/2021,Ages_40-49_yrs,28803049,14.1,0,25206379,77.7,68,14.2,0
10/31/2021,Ages_75+_yrs,20194737,9.9,0,17655770,94.2,82.4,10,0
10/31/2021,Ages_<18yrs,13634026,6.7,0,11475125,20.6,17.3,6.5,0
10/31/2021,Race_eth_NHAIAN,1339444,1,0,1147328,57.2,49,0.9,0
10/31/2021,Race_eth_NHNHOPI,438987,0.3,0,391435,49.2,43.9,0.3,0
10/31/2021,Sex_known,201691627,0,99,175546171,0,0,0,99.2
10/31/2021,Race_eth_NHBlack,14511881,10.6,0,12954988,38.5,34.4,10.3,0
10/31/2021,Sex_Male,95871330,47.5,0,83231647,64.3,55.8,47.4,0
10/31/2021,Race_eth_known,136749582,0,67.1,125585697,0,0,0,71
10/31/2021,Ages_30-39_yrs,29445212,14.5,0,25349578,72.7,62.6,14.3,0
10/31/2021,Race_eth_NHMult_Oth,6343323,4.6,0,5632289,91.9,81.6,4.5,0
10/31/2021,Sex_Female,105820297,52.5,0,92314524,68.8,60,52.6,0
10/31/2021,Race_eth_unknown,66945912,49,0,51394604,0,0,40.9,0
10/31/2021,Race_eth_NHWhite,82407108,60.3,0,76420885,44.4,41.2,60.9,0
10/31/2021,Ages_<12yrs,203840,0.1,0,127893,0.5,0.3,0.1,0
10/31/2021,US,203695494,0,0,176980301,0,0,0,0
10/31/2021,Ages_18-29_yrs,32117814,15.8,0,27027445,65.1,54.8,15.3,0
10/31/2021,Sex_unknown,2003867,1,0,1434130,0,0,0.8,0
10/30/2021,Race_eth_Hispanic,23567281,17.3,0,21174615,45.1,40.5,16.9,0
10/30/2021,Ages_<12yrs,203795,0.1,0,127866,0.5,0.3,0.1,0
10/30/2021,Sex_Male,95736038,47.5,0,83140161,64.2,55.8,47.4,0
10/30/2021,Age_unknown,23096,0,0,5514,0,0,0,0
10/30/2021,US,203414131,0,0,176789028,0,0,0,0
10/30/2021,Ages_18-29_yrs,32076967,15.8,0,26990164,65,54.7,15.3,0
10/30/2021,Ages_75+_yrs,20156483,9.9,0,17639808,94,82.3,10,0
10/30/2021,Ages_30-39_yrs,29405269,14.5,0,25315398,72.6,62.5,14.3,0
10/30/2021,Ages_<18yrs,13619608,6.7,0,11458478,20.5,17.3,6.5,0
10/30/2021,Sex_Female,105678924,52.5,0,92215810,68.7,59.9,52.6,0
10/30/2021,Age_known,203391035,0,99,176783514,0,0,0,99
10/30/2021,Ages_50-64_yrs,49784705,24.5,0,44242360,84.8,75.4,25,0
10/30/2021,Sex_unknown,1999169,1,0,1433057,0,0,0.8,0
10/30/2021,Race_eth_NHMult_Oth,6335734,4.6,0,5624834,91.8,81.5,4.5,0
10/30/2021,Race_eth_NHBlack,14487961,10.6,0,12932922,38.5,34.3,10.3,0
10/30/2021,Ages_12-15_yrs,8611576,4.2,0,7197997,56.6,47.3,4.1,0
10/30/2021,Ages_25-39_yrs,43136950,21.2,0,36927805,69.5,59.5,20.9,0
10/30/2021,Ages_16-17_yrs,4804237,2.4,0,4132615,63.6,54.7,2.3,0
10/30/2021,Race_eth_NHAIAN,1337150,1,0,1145801,57.1,48.9,0.9,0
10/30/2021,Race_eth_NHWhite,82279677,60.3,0,76346660,44.4,41.2,60.9,0
10/30/2021,Race_eth_unknown,66875304,49,0,51352451,0,0,40.9,0
10/30/2021,Ages_40-49_yrs,28768808,14.1,0,25179083,77.6,67.9,14.2,0
10/30/2021,Ages_18-24_yrs,18345286,9,0,15377757,66.1,55.4,8.7,0
10/30/2021,Race_eth_NHAsian,8092555,5.9,0,7820797,46.1,44.6,6.2,0
10/30/2021,Race_eth_known,136538827,0,67.1,125436577,0,0,0,71
10/30/2021,Race_eth_NHNHOPI,438469,0.3,0,390948,49.2,43.8,0.3,0
10/30/2021,Ages_65-74_yrs,29579195,14.5,0,25958223,99.7,87.5,14.7,0
10/30/2021,Sex_known,201414962,0,99,175355971,0,0,0,99.2
10/29/2021,Race_eth_known,136282153,0,67.1,125251906,0,0,0,70.9
10/29/2021,Ages_12-15_yrs,8599514,4.2,0,7184282,56.5,47.2,4.1,0
10/29/2021,Age_known,203050849,0,99,176556640,0,0,0,99
10/29/2021,Race_eth_NHMult_Oth,6325783,4.6,0,5615523,91.7,81.4,4.5,0
10/29/2021,Ages_65-74_yrs,29511251,14.5,0,25930119,99.5,87.4,14.7,0
10/29/2021,Ages_50-64_yrs,49716810,24.5,0,44198809,84.7,75.3,25,0
10/29/2021,Age_unknown,23061,0,0,5507,0,0,0,0
10/29/2021,Ages_<18yrs,13602871,6.7,0,11439156,20.5,17.2,6.5,0
10/29/2021,Ages_<12yrs,203703,0.1,0,127829,0.5,0.3,0.1,0
10/29/2021,Ages_18-24_yrs,18319297,9,0,15353478,66,55.3,8.7,0
10/29/2021,Ages_25-39_yrs,43064415,21.2,0,36867699,69.4,59.4,20.9,0
